3.1620 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
42.5746 	EXP 	fixation: autoDraw = True
43.5744 	EXP 	fixation: autoDraw = False
43.5744 	EXP 	grating: autoDraw = True
43.8741 	EXP 	grating: autoDraw = False
44.4959 	EXP 	New trial (rep=10, index=0): None
44.4981 	DATA 	Keypress: up
44.5073 	EXP 	fixation: autoDraw = False
44.5073 	EXP 	grating: autoDraw = False
44.5073 	EXP 	grating: ori = 0.0
44.5073 	EXP 	fixation: autoDraw = True
45.5072 	EXP 	fixation: autoDraw = False
45.5072 	EXP 	grating: autoDraw = True
45.8068 	EXP 	grating: autoDraw = False
46.3452 	EXP 	New trial (rep=11, index=0): None
46.3473 	DATA 	Keypress: up
46.3568 	EXP 	fixation: autoDraw = False
46.3568 	EXP 	grating: autoDraw = False
46.3568 	EXP 	grating: ori = -3.0
46.3568 	EXP 	fixation: autoDraw = True
47.3566 	EXP 	fixation: autoDraw = False
47.3566 	EXP 	grating: autoDraw = True
47.6559 	EXP 	grating: autoDraw = False
47.8107 	EXP 	New trial (rep=12, index=0): None
47.8126 	DATA 	Keypress: down
47.8227 	EXP 	fixation: autoDraw = False
47.8227 	EXP 	grating: autoDraw = False
47.8227 	EXP 	grating: ori = -1.0
47.8227 	EXP 	fixation: autoDraw = True
48.8227 	EXP 	fixation: autoDraw = False
48.8227 	EXP 	grating: autoDraw = True
49.1225 	EXP 	grating: autoDraw = False
49.7610 	EXP 	New trial (rep=13, index=0): None
49.7633 	DATA 	Keypress: up
49.7721 	EXP 	fixation: autoDraw = False
49.7721 	EXP 	grating: autoDraw = False
49.7721 	EXP 	grating: ori = 0.0
49.7721 	EXP 	fixation: autoDraw = True
50.7719 	EXP 	fixation: autoDraw = False
50.7719 	EXP 	grating: autoDraw = True
51.0717 	EXP 	grating: autoDraw = False
52.1099 	EXP 	New trial (rep=14, index=0): None
52.1121 	DATA 	Keypress: down
52.1217 	EXP 	fixation: autoDraw = False
52.1217 	EXP 	grating: autoDraw = False
52.1217 	EXP 	grating: ori = 0.0
52.1217 	EXP 	fixation: autoDraw = True
53.1211 	EXP 	fixation: autoDraw = False
53.1211 	EXP 	grating: autoDraw = True
53.4210 	EXP 	grating: autoDraw = False
53.8082 	DATA 	Keypress: up
53.8261 	EXP 	New trial (rep=15, index=0): None
53.8376 	EXP 	fixation: autoDraw = False
53.8376 	EXP 	grating: autoDraw = False
53.8376 	EXP 	grating: ori = -4.0
53.8376 	EXP 	fixation: autoDraw = True
54.8372 	EXP 	fixation: autoDraw = False
54.8372 	EXP 	grating: autoDraw = True
55.1370 	EXP 	grating: autoDraw = False
55.5887 	DATA 	Keypress: down
55.6071 	EXP 	New trial (rep=16, index=0): None
55.6199 	EXP 	fixation: autoDraw = False
55.6199 	EXP 	grating: autoDraw = False
55.6199 	EXP 	grating: ori = 0.0
55.6199 	EXP 	fixation: autoDraw = True
56.6199 	EXP 	fixation: autoDraw = False
56.6199 	EXP 	grating: autoDraw = True
56.9199 	EXP 	grating: autoDraw = False
57.2755 	EXP 	New trial (rep=17, index=0): None
57.2777 	DATA 	Keypress: up
57.2864 	EXP 	fixation: autoDraw = False
57.2864 	EXP 	grating: autoDraw = False
57.2864 	EXP 	grating: ori = -1.0
57.2864 	EXP 	fixation: autoDraw = True
58.2862 	EXP 	fixation: autoDraw = False
58.2862 	EXP 	grating: autoDraw = True
58.5858 	EXP 	grating: autoDraw = False
59.3741 	EXP 	New trial (rep=18, index=0): None
59.3764 	DATA 	Keypress: up
59.3856 	EXP 	fixation: autoDraw = False
59.3856 	EXP 	grating: autoDraw = False
59.3856 	EXP 	grating: ori = 0.0
59.3856 	EXP 	fixation: autoDraw = True
60.3854 	EXP 	fixation: autoDraw = False
60.3854 	EXP 	grating: autoDraw = True
60.6852 	EXP 	grating: autoDraw = False
61.2251 	EXP 	New trial (rep=19, index=0): None
61.2275 	DATA 	Keypress: up
61.2351 	EXP 	fixation: autoDraw = False
61.2351 	EXP 	grating: autoDraw = False
61.2351 	EXP 	grating: ori = 0.0
61.2351 	EXP 	fixation: autoDraw = True
62.2348 	EXP 	fixation: autoDraw = False
62.2348 	EXP 	grating: autoDraw = True
62.5345 	EXP 	grating: autoDraw = False
63.3556 	EXP 	New trial (rep=20, index=0): None
63.3576 	DATA 	Keypress: up
63.3677 	EXP 	fixation: autoDraw = False
63.3677 	EXP 	grating: autoDraw = False
63.3677 	EXP 	grating: ori = 0.0
63.3677 	EXP 	fixation: autoDraw = True
64.3674 	EXP 	fixation: autoDraw = False
64.3674 	EXP 	grating: autoDraw = True
64.6673 	EXP 	grating: autoDraw = False
65.5884 	EXP 	New trial (rep=21, index=0): None
65.5905 	DATA 	Keypress: up
65.6003 	EXP 	fixation: autoDraw = False
65.6003 	EXP 	grating: autoDraw = False
65.6003 	EXP 	grating: ori = 0.0
65.6003 	EXP 	fixation: autoDraw = True
66.6000 	EXP 	fixation: autoDraw = False
66.6000 	EXP 	grating: autoDraw = True
66.8999 	EXP 	grating: autoDraw = False
67.6714 	EXP 	New trial (rep=22, index=0): None
67.6736 	DATA 	Keypress: up
67.6829 	EXP 	fixation: autoDraw = False
67.6829 	EXP 	grating: autoDraw = False
67.6829 	EXP 	grating: ori = 0.0
67.6829 	EXP 	fixation: autoDraw = True
68.6825 	EXP 	fixation: autoDraw = False
68.6825 	EXP 	grating: autoDraw = True
68.9823 	EXP 	grating: autoDraw = False
69.5041 	EXP 	New trial (rep=23, index=0): None
69.5064 	DATA 	Keypress: up
69.5154 	EXP 	fixation: autoDraw = False
69.5154 	EXP 	grating: autoDraw = False
69.5154 	EXP 	grating: ori = 4.0
69.5154 	EXP 	fixation: autoDraw = True
70.5152 	EXP 	fixation: autoDraw = False
70.5152 	EXP 	grating: autoDraw = True
70.8149 	EXP 	grating: autoDraw = False
71.2186 	EXP 	New trial (rep=24, index=0): None
71.2203 	DATA 	Keypress: down
71.2315 	EXP 	fixation: autoDraw = False
71.2315 	EXP 	grating: autoDraw = False
71.2315 	EXP 	grating: ori = -5.0
71.2315 	EXP 	fixation: autoDraw = True
72.2314 	EXP 	fixation: autoDraw = False
72.2314 	EXP 	grating: autoDraw = True
72.5312 	EXP 	grating: autoDraw = False
73.0204 	EXP 	New trial (rep=25, index=0): None
73.0226 	DATA 	Keypress: down
73.0313 	EXP 	fixation: autoDraw = False
73.0313 	EXP 	grating: autoDraw = False
73.0313 	EXP 	grating: ori = 0.0
73.0313 	EXP 	fixation: autoDraw = True
74.0309 	EXP 	fixation: autoDraw = False
74.0309 	EXP 	grating: autoDraw = True
74.3305 	EXP 	grating: autoDraw = False
74.8358 	EXP 	New trial (rep=26, index=0): None
74.8380 	DATA 	Keypress: up
74.8470 	EXP 	fixation: autoDraw = False
74.8470 	EXP 	grating: autoDraw = False
74.8470 	EXP 	grating: ori = -3.0
74.8470 	EXP 	fixation: autoDraw = True
75.8469 	EXP 	fixation: autoDraw = False
75.8469 	EXP 	grating: autoDraw = True
76.1466 	EXP 	grating: autoDraw = False
76.5852 	EXP 	New trial (rep=27, index=0): None
76.5873 	DATA 	Keypress: down
76.5966 	EXP 	fixation: autoDraw = False
76.5966 	EXP 	grating: autoDraw = False
76.5966 	EXP 	grating: ori = 0.0
76.5966 	EXP 	fixation: autoDraw = True
77.5964 	EXP 	fixation: autoDraw = False
77.5964 	EXP 	grating: autoDraw = True
77.8961 	EXP 	grating: autoDraw = False
79.2679 	EXP 	New trial (rep=28, index=0): None
79.2721 	DATA 	Keypress: down
79.2790 	EXP 	fixation: autoDraw = False
79.2790 	EXP 	grating: autoDraw = False
79.2790 	EXP 	grating: ori = 0.0
79.2790 	EXP 	fixation: autoDraw = True
80.2789 	EXP 	fixation: autoDraw = False
80.2789 	EXP 	grating: autoDraw = True
80.5784 	EXP 	grating: autoDraw = False
81.0538 	EXP 	New trial (rep=29, index=0): None
81.0557 	DATA 	Keypress: up
81.0617 	EXP 	fixation: autoDraw = False
81.0617 	EXP 	grating: autoDraw = False
81.0617 	EXP 	grating: ori = -1.0
81.0617 	EXP 	fixation: autoDraw = True
82.0614 	EXP 	fixation: autoDraw = False
82.0614 	EXP 	grating: autoDraw = True
82.3612 	EXP 	grating: autoDraw = False
83.4497 	EXP 	New trial (rep=30, index=0): None
83.4520 	DATA 	Keypress: down
83.4607 	EXP 	fixation: autoDraw = False
83.4607 	EXP 	grating: autoDraw = False
83.4607 	EXP 	grating: ori = 0.0
83.4607 	EXP 	fixation: autoDraw = True
84.4608 	EXP 	fixation: autoDraw = False
84.4608 	EXP 	grating: autoDraw = True
84.7603 	EXP 	grating: autoDraw = False
85.3821 	EXP 	New trial (rep=31, index=0): None
85.3842 	DATA 	Keypress: up
85.3936 	EXP 	fixation: autoDraw = False
85.3936 	EXP 	grating: autoDraw = False
85.3936 	EXP 	grating: ori = 0.0
85.3936 	EXP 	fixation: autoDraw = True
86.3932 	EXP 	fixation: autoDraw = False
86.3932 	EXP 	grating: autoDraw = True
86.6930 	EXP 	grating: autoDraw = False
87.4481 	EXP 	New trial (rep=32, index=0): None
87.4503 	DATA 	Keypress: down
87.4596 	EXP 	fixation: autoDraw = False
87.4596 	EXP 	grating: autoDraw = False
87.4596 	EXP 	grating: ori = 4.0
87.4596 	EXP 	fixation: autoDraw = True
88.4592 	EXP 	fixation: autoDraw = False
88.4592 	EXP 	grating: autoDraw = True
88.7591 	EXP 	grating: autoDraw = False
89.2616 	EXP 	New trial (rep=33, index=0): None
89.2628 	DATA 	Keypress: down
89.2757 	EXP 	fixation: autoDraw = False
89.2757 	EXP 	grating: autoDraw = False
89.2757 	EXP 	grating: ori = -4.0
89.2757 	EXP 	fixation: autoDraw = True
90.2755 	EXP 	fixation: autoDraw = False
90.2755 	EXP 	grating: autoDraw = True
90.5751 	EXP 	grating: autoDraw = False
91.2982 	EXP 	New trial (rep=34, index=0): None
91.3005 	DATA 	Keypress: up
91.3083 	EXP 	fixation: autoDraw = False
91.3083 	EXP 	grating: autoDraw = False
91.3083 	EXP 	grating: ori = 3.0
91.3083 	EXP 	fixation: autoDraw = True
92.3083 	EXP 	fixation: autoDraw = False
92.3083 	EXP 	grating: autoDraw = True
92.6077 	EXP 	grating: autoDraw = False
93.1131 	EXP 	New trial (rep=35, index=0): None
93.1153 	DATA 	Keypress: down
93.1243 	EXP 	fixation: autoDraw = False
93.1243 	EXP 	grating: autoDraw = False
93.1243 	EXP 	grating: ori = 1.0
93.1243 	EXP 	fixation: autoDraw = True
94.1240 	EXP 	fixation: autoDraw = False
94.1240 	EXP 	grating: autoDraw = True
94.4238 	EXP 	grating: autoDraw = False
95.3450 	EXP 	New trial (rep=36, index=0): None
95.3472 	DATA 	Keypress: down
95.3568 	EXP 	fixation: autoDraw = False
95.3568 	EXP 	grating: autoDraw = False
95.3568 	EXP 	grating: ori = -5.0
95.3568 	EXP 	fixation: autoDraw = True
96.3568 	EXP 	fixation: autoDraw = False
96.3568 	EXP 	grating: autoDraw = True
96.6563 	EXP 	grating: autoDraw = False
97.0957 	EXP 	New trial (rep=37, index=0): None
97.0979 	DATA 	Keypress: down
97.1062 	EXP 	fixation: autoDraw = False
97.1062 	EXP 	grating: autoDraw = False
97.1062 	EXP 	grating: ori = -5.0
97.1062 	EXP 	fixation: autoDraw = True
98.1060 	EXP 	fixation: autoDraw = False
98.1060 	EXP 	grating: autoDraw = True
98.4057 	EXP 	grating: autoDraw = False
98.7448 	EXP 	New trial (rep=38, index=0): None
98.7469 	DATA 	Keypress: down
98.7557 	EXP 	fixation: autoDraw = False
98.7557 	EXP 	grating: autoDraw = False
98.7557 	EXP 	grating: ori = 0.0
98.7557 	EXP 	fixation: autoDraw = True
99.7555 	EXP 	fixation: autoDraw = False
99.7555 	EXP 	grating: autoDraw = True
100.0552 	EXP 	grating: autoDraw = False
101.3439 	EXP 	New trial (rep=39, index=0): None
101.3463 	DATA 	Keypress: down
101.3549 	EXP 	fixation: autoDraw = False
101.3549 	EXP 	grating: autoDraw = False
101.3549 	EXP 	grating: ori = -3.0
